sentiment1,sentiment2,ret_1_0,seas_1_1an,market_equity,ret_2_0,ret_3_0,ret_3_1,assets,sales,book_equity,net_income,enterprise_value,at_gr1,ca_gr1,nca_gr1,lt_gr1,at_gr3,cash_gr1a,ca_gr3,inv_gr1a,nca_gr3,rec_gr1a,lt_gr3,ppeg_gr1a,market_equity.1,yom,transcript_id,name,ticker,Report_Sent,QA_Sent
0.129995695,0.156,-0.080565199,-0.055478532,52954.46883,-0.037373443,0.123449249,0.221891154,233132,145828,40765,9125,134852.4688,0.065863226,0.121159096,0.039045156,0.028515617,0.144947893,0.009355215,0.127488245,-0.001514164,0.154302178,0.031827463,0.161442576,0.032299781,52954.46883,201908,765,General Motors Company,GM,0.131358883,0.128692501
0.15668308,0.154,0.115135476,0.008552223,45146.48392,0.099447751,0.269573091,0.138492245,18137.8,5430.3,10672.4,1638.6,49423.28392,0.176701851,0.433417402,0.147258119,0.174502178,0.274612169,0.033482561,0.327437504,-7.17E-05,0.267384657,0.00630727,0.034777433,0.016616139,45146.48392,202007,766,"Roper Technologies, Inc.",ROP,0.157566956,0.151940735
0.152356983,0.132,-0.086552843,-0.050658587,43584.561,-0.166666632,-0.143981482,-0.062870236,231529,144810,44554,8970,119538.561,0.025776325,0.076381466,0.000669482,-0.011065838,0.064129316,0.015207598,0.053192324,0.00199975,0.070059541,0.004893556,0.059092147,0.032299781,43584.561,202002,767,General Motors Company,GM,0.147636342,0.155592872
0.154874391,0.149,-0.087261342,-0.078499168,41205.2579,-0.078518724,0.059601739,0.160903759,23652,4913.4,11724.8,1471.6,50607.1579,0.327339765,0.053600099,0.3547041,0.458844266,0.660177081,-0.000883646,0.008359061,0.000418569,0.748026244,0.00575427,0.732362451,0.016616139,41205.2579,202101,768,"Roper Technologies, Inc.",ROP,0.65,0.153782604
0.184576794,0.162,0.108252361,0.154737085,46956.11302,0.183736318,0.137671474,0.026545499,24024.8,5527.1,12042.3,949.7,56498.61302,0.326684669,-0.123630908,0.382577874,0.57189277,0.67812985,-0.016707735,-0.004036599,-8.32E-06,0.77371032,0.005535946,0.817425793,0.001448503,46956.11302,202104,769,"Roper Technologies, Inc.",ROP,0.161837926,0.194482063
0.160220093,0.13,0.031347964,0.024892701,14247.74918,0.073993487,-0.107594999,-0.134719773,41086,15930,13764,999,21585.74918,0.109592741,-0.155950885,0.212516395,-0.037914496,-0.005085238,-0.027697999,-0.18411215,0.004892177,0.057523859,-0.008080611,-0.277494877,0.805737161,14247.74918,201910,771,Freeport-Mcmoran Inc.,FCX,0.15639308,0.162644163
0.139698834,0.142,0.161058679,0.167066544,37036.24568,0.245428209,-0.135958614,-0.255815919,228037,137237,42516,6732,115014.2457,0.003070305,-0.003997716,0.00657038,-0.013448055,0.028630069,-0.010077312,-0.015891763,0.002552217,0.051949659,-4.39E-06,0.025138643,0.004714147,37036.24568,202005,773,General Motors Company,GM,0.109158443,0.160157931
0.1430347,0.13,0.09535455,-0.043869887,35601.48569,-0.028881186,-0.105113205,-0.183016316,18108.9,5366.8,10600,1767.9,40443.88569,0.187507787,0.241385733,0.181144969,0.147250699,0.264153039,0.019067972,0.12552709,0.000430727,0.283778539,0.005616023,0.00948189,0.016616139,35601.48569,202004,774,"Roper Technologies, Inc.",ROP,0.126578903,0.16541702
0.167938303,0.126,0.308148146,-0.211210415,12820.81552,-0.113453833,-0.204504544,-0.391891921,40809,14568,13508,-242,20774.81552,-0.033328596,-0.261660448,0.044386589,-0.039590528,0.093576654,-0.054081208,-0.241494969,-0.016810017,0.223644074,-0.003798182,-0.16746258,0.055183906,12820.81552,202004,775,Freeport-Mcmoran Inc.,FCX,0.163778054,0.466746032
0.158333265,0.17,0.046155855,-0.012163278,51708.12988,0.093092344,0.101833379,0.05322106,23871.1,4658.8,12337.3,808.2,60451.02988,0.31609677,-0.234890472,0.395054336,0.533423039,0.696101349,-0.028017142,0.158055925,-8.38E-06,0.760382116,0.004884568,0.894227156,0.001448503,51708.12988,202107,776,"Roper Technologies, Inc.",ROP,0.129902952,0.172816767
0.194687954,0.185,-0.003578759,0.007996611,49624.96318,0.049797001,0.076356503,0.080222359,23713.9,5777.8,13043.3,982.6,57427.56318,-0.012940795,0.381669805,-0.043986979,-0.10298265,0.555060822,0.001821716,0.503135283,-0.000940377,0.561193067,-0.006924209,0.617640794,-0.004908514,49624.96318,202204,777,"Roper Technologies, Inc.",ROP,0.191295486,0.200143498
